 	Title     	Group 	Last Updated
	60.1 - Vol 6 Extras 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	60 - Kaguya Doesn't Want to Call 	Psylocke Scans 	2019-07-16 	
	59 - The 67th Student Council 	Psylocke Scans 	2019-07-16 	
	58 - Ai Hayasaka Wants to Seduce 	Psylocke Scans 	2019-07-16 	
	57 - Kaguya Wants to Marry 	Psylocke Scans 	2019-07-16 	
	56 - Miyuki Shirogane Wants to Gaze 	Psylocke Scans 	2019-07-16 	
	55 - Thus, Yu Ishigami Closed His Eyes, Part 1 	Psylocke Scans 	2019-07-16 	
	54 - Chika Fujiwara Wants to Confirm 	Psylocke Scans 	2019-07-16 	
	53 - Kaguya Wants to Give 	Psylocke Scans 	2019-07-16 	
	52 - Kaguya Wants to Ask 	Psylocke Scans 	2019-07-16 	
	51 - Kaguya Wants to Celebrate 	Psylocke Scans 	2019-07-16 	
	50.5 - Volume 5 Extras 	Psylocke Scans 	2019-07-16 	
	50 - Nagisa Kashiwagi Can't Watch 	Psylocke Scans 	2019-07-16 	
	49 - Miyuki Shirogane Wants to Prepare 	Psylocke Scans 	2019-07-16 	
	48 - The Student Council Isn't Alpha 	Psylocke Scans 	2019-07-16 	
	47 - Kaguya Wants to Choose 	Psylocke Scans 	2019-07-16 	
	46.5 - Shuchi'in Student Council Shuffle! 	NotJag 	2019-12-05 	
	46 - Kaguya Doesn't Want to Avoid 	Psylocke Scans 	2019-07-16 	
	45.5 - I Can't Hear the Fireworks (Extra) 	Multiple Groups 	2019-09-10 	
	45 - I Can't Hear the Fireworks, Part 2 	Psylocke Scans 	2019-07-16 	
	44 - I Can't Hear the Fireworks, Part 1 	Psylocke Scans 	2019-07-16 	
	43 - Chika Fujiwara Really Wants to Eat 	Psylocke Scans 	2019-07-16 	
	42 - Ai Hayasaka Wants to Soak 	Psylocke Scans 	2019-07-16 	
	41 - Miyuki Shirogane Wants to Meet 	Psylocke Scans 	2019-07-16 	
	40.5 - Volume 4 Extras 	Psylocke Scans 	2019-07-16 	
	40 - Miyuki Shirogane Wants to Go on a Trip 	Psylocke Scans 	2019-07-16 	
	39 - Kaguya Wants to be Called 	Psylocke Scans 	2019-07-16 	
	38 - Kaguya Wants to Forgive 	Psylocke Scans 	2019-07-16 	
	37 - Kaguya Won't Relent 	Psylocke Scans 	2019-07-16 	
	36 - Miyuki Shirogane Wants to Sing 	Psylocke Scans 	2019-07-16 	
	35 - Regarding Kaguya Shinomiya, Part 1 	Psylocke Scans 	2019-07-16 	
	34 - Chika Fujiwara Wants to Visit 	Psylocke Scans 	2019-07-16 	
	33 - Kaguya Wants to Offer 	Psylocke Scans 	2019-07-16 	
	32 - Kaguya Wants to be Hated 	Psylocke Scans 	2019-07-16 	
	31 - Miyuki Shirogane Can't Lose 	Psylocke Scans 	2019-07-16 	
	30.5 - Volume 3 Extras 	Psylocke Scans 	2019-07-16 	
	30 - Ai Hayasaka Wants to Defend 	Psylocke Scans 	2019-07-16 	
	29 - Kaguya Wants to be Joined 	Psylocke Scans 	2019-07-16 	
	28 - Chika Fujiwara Wants to Test 	Psylocke Scans 	2019-07-16 	
	27.5 - Extra Chapter 	Psylocke Scans 	2019-07-16 	
	27 - Kaguya Wants to Endure 	Psylocke Scans 	2019-07-16 	
	26 - Miyuki Shirogane Wants to Work 	Psylocke Scans 	2019-07-16 	
	25 - Kaguya Wants to be Noticed 	Psylocke Scans 	2019-07-16 	
	24 - Yu Ishigami Wants to Survive 	Psylocke Scans 	2019-07-16 	
	23 - Miyuki Shirogane Wants to Show Off 	Psylocke Scans 	2019-07-16 	
	22 - Chika Fujiwara Wants to be Eaten 	Psylocke Scans 	2019-07-16 	
	21 - Kaguya Wants to Have Held 	Psylocke Scans 	2019-07-16 	
	20.5 - Volume 2 Extras 	Psylocke Scans 	2019-07-16 	
	20 - Miyuki Shirogane Wants to Speak 	Psylocke Scans 	2019-07-16 	
	19 - Kaguya Wants to be Sent 	Psylocke Scans 	2019-07-16 	
	18 - The Student Council Wants to Talk 	Psylocke Scans 	2019-07-16 	
	17 - Kaguya Wants to Adore 	Psylocke Scans 	2019-07-16 	
	16 - Kaguya Wants to Do Well 	Psylocke Scans 	2019-07-16 	
	15 - Miyuki Shirogane Wants to Flee 	Psylocke Scans 	2019-07-16 	
	14 - Miyuki Shirogane Hasn't Done It 	Psylocke Scans 	2019-07-16 	
	13 - Kaguya Wants to be Indirect 	Psylocke Scans 	2019-07-16 	
	12 - Kaguya Wants to be Stopped 	Psylocke Scans 	2019-07-16 	
	11 - Kaguya Wants to Exchange 	Psylocke Scans 	2019-07-16 	
	10.5 - Volume 1 Extras 	Psylocke Scans 	2019-07-16 	
	10 - The Student Council Wants to Play a Prank 	Psylocke Scans 	2019-07-16 	
	9 - Kaguya Wants to Walk 	Psylocke Scans 	2019-07-16 	
	8 - Kaguya Wants to be Answered 	Psylocke Scans 	2019-07-16 	
	7 - Fujiwara Wants to Go On a Trip 	Psylocke Scans 	2019-07-16 	
	6 - Miyuki Shirogane Wants to Hide 	Psylocke Scans 	2019-07-16 	
	5.5 - Extra Chapter 	Psylocke Scans 	2019-07-16 	
	5 - Kaguya Wants to Eat 	Psylocke Scans 	2019-07-16 	
	4 - Miyuki Shirogane Wants to Answer 	Psylocke Scans 	2019-07-16 	
	3 - Kaguya Doesn't Know Much 	Psylocke Scans 	2019-07-16 	
	2 - I Want to Play Old Maid 	Psylocke Scans 	2019-07-16 	
	1 - I Want to be Invited to a Movie 	Psylocke Scans 	2019-07-16 	
